,Model,Parameters,mean_train_score,std_train_score,mean_test_score,std_test_score
46,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 10",0.8287600255731687,0.008000201013465985,0.7467706165908683,0.0003361268270233561
47,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 5",0.8228711261701775,0.001965365934951339,0.7459744932432376,0.002441761184521602
48,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 1",0.812676593785716,0.005100424032161807,0.7456862905776712,0.0013878158010252957
49,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 10",0.7854331991112279,0.003071546354272629,0.7454221323716318,0.0003967068461458716
50,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 0",0.7655010461302026,0.0012201934694698376,0.7435614493975988,0.0011715410925060548
51,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 1",0.7718437758354263,0.001374349030959753,0.7430930160887429,0.001171404713320692
52,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 5",0.782143386881069,0.005992927324641654,0.7427623285811012,0.0019050450660544073
53,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 5",0.7810985671579059,0.0011459330132529057,0.7422745854984827,0.0023324066043672034
54,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 0",0.8044596636647058,0.003384950909743916,0.7420389246422633,0.001215375057022141
55,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 10",0.779196277995733,0.0011796300228005296,0.7419033497098667,0.0019764353207586023
56,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 1",0.7848569518986652,0.0011229290203679811,0.7418269805278745,0.002257318520809845
57,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 0",0.7882392953247935,0.0013599321871820107,0.7410089298396573,0.0018442444010782241
58,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 100",0.8000693684953465,0.006958443178672109,0.7409017551941961,0.0026609299533401653
59,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 1",0.8236058320643354,0.004853381635552282,0.7401882172279214,0.001114150878733818
60,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 10",0.8574309684485425,0.005195629857088426,0.7391817643495848,0.0019002078527187855
61,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 5",0.7604707420434985,0.0008542549357869515,0.7390095038215474,0.0025982320841527753
62,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 1",0.7614188785231573,0.0009654667563993214,0.7387444793553547,0.0022698599804264878
63,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 10",0.759982905289978,0.0009210110440383294,0.7386906553766125,0.002601492958184864
64,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 0",0.7630528219463999,0.0008693535795306224,0.7382645821892438,0.0023555316446575436
65,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 0",0.8117393509188653,0.004428311884655246,0.7382149689654264,0.002160379907270749
66,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 100",0.7644156415970226,0.0005880592468945816,0.7372726344718806,0.0031658759656826205
0,Random Forest,"rf__n_estimators: 250, rf__max_depth: 10, rf__min_samples_leaf: 2",0.8450865094772283,0.001072888797007408,0.7362920947745217,0.000982424362661957
67,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 5",0.863789451303388,0.0017871296648941759,0.7357735577089907,0.001174422449857092
1,Random Forest,"rf__n_estimators: 150, rf__max_depth: 10, rf__min_samples_leaf: 2",0.8448628938118851,0.001108776401942989,0.7356552672758658,0.0010671778774578758
2,Random Forest,"rf__n_estimators: 250, rf__max_depth: 10, rf__min_samples_leaf: 1",0.8453913492952475,0.0013714116588205004,0.7354382388405903,0.000524299062371031
68,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 1",0.7500462700336543,0.0008861028248147225,0.7351803646735653,0.00230836646173917
69,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 10",0.749665279686055,0.0009227512215426081,0.7351559470959602,0.0026496102316548907
70,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 5",0.7497484025661807,0.0009605077987248524,0.7351549148895852,0.002525210125294114
71,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 100",0.7528306556021324,0.0009081739833499057,0.7349424484098869,0.003072431118432582
72,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 0",0.7502560134036872,0.0007660070589629865,0.7348937171015267,0.002524966798305027
3,Random Forest,"rf__n_estimators: 150, rf__max_depth: 10, rf__min_samples_leaf: 1",0.8450596316686042,0.0011980966600034658,0.73479555938931,0.0003243686567111664
73,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 100",0.8206186405128575,0.0020492924989743058,0.7343436993070821,0.001645490976200267
74,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 100",0.7454244457037152,0.0010286217188580735,0.7326447930258603,0.0028637745095653087
75,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 1",0.8544319212658277,0.0024048454740330538,0.7323654413473161,0.0014888405273746482
76,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 10",0.7969860134564559,0.0020809615442810986,0.7314487184092248,0.001507509447044562
4,Random Forest,"rf__n_estimators: 250, rf__max_depth: 20, rf__min_samples_leaf: 2",0.9924147330842478,0.00029898653343626234,0.728425453775874,0.0009627720975815959
77,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 5",0.7938560981084836,0.0022134363458828155,0.7271622330386597,0.0012801696670123066
78,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 100",0.8476997935320064,0.006869379766834758,0.7267028568449949,0.002722628710375134
5,Random Forest,"rf__n_estimators: 150, rf__max_depth: 20, rf__min_samples_leaf: 2",0.991969097811801,0.000343610541055626,0.7265142876649664,0.0012897753388565643
6,Random Forest,"rf__n_estimators: 250, rf__max_depth: 20, rf__min_samples_leaf: 1",0.9934155910178667,0.00021135879461972747,0.7251319838144029,0.0007263378839933254
79,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 10",0.7297953963288822,0.0010658935694365468,0.7239312303492537,0.0026879937815799783
80,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 5",0.7297008766483867,0.0010605677390325662,0.7238857104655816,0.0025747946412027233
81,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 0",0.7297497321554917,0.0010331469210056105,0.723880282249851,0.002584829323849934
7,Random Forest,"rf__n_estimators: 150, rf__max_depth: 20, rf__min_samples_leaf: 1",0.9931497029007383,0.0004930988743513352,0.7238603274775649,3.0081402164764193e-05
